altitude_m,distancia_proximo_m,id,id_original,inclinacao_percentual,lat,latitude,lon,longitude,origem,tipo
827.0,453.893,52,52,0.22,-22.5102104452288,-22.5102104452288,-43.1756097078323,-43.1756097078323,,no
828.0,905.485,53,53,-0.994,-22.5121059513504,-22.5121059513504,-43.1795230507851,-43.1795230507851,,no
819.0,1252.482,54,54,3.433,-22.5047444889284,-22.5047444889284,-43.183291654451,-43.183291654451,,no
862.0,2726.377,55,55,0.66,-22.5153494210933,-22.5153494210933,-43.1874006986618,-43.1874006986618,,no
880.0,2076.573,56,56,-2.408,-22.525440361086,-22.525440361086,-43.2115915417671,-43.2115915417671,,no
830.0,19.568,57,57,-30.662,-22.5108798991239,-22.5108798991239,-43.1989323181988,-43.1989323181988,,no
824.0,2505.515,58,58,0.798,-22.5109096332374,-22.5109096332374,-43.1991200728298,-43.1991200728298,,no
844.0,3335.445,59,59,-0.42,-22.5334210421917,-22.5334210421917,-43.2001787424088,-43.2001787424088,,no
830.0,946.389,60,60,-0.951,-22.5045880778009,-22.5045880778009,-43.191222846508,-43.191222846508,,no
821.0,671.83,61,61,0.0,-22.5089640785186,-22.5089640785186,-43.1833210587502,-43.1833210587502,,no
821.0,685.684,62,62,0.292,-22.5077548690659,-22.5077548690659,-43.1769132614136,-43.1769132614136,,no
823.0,89.895,63,63,1.112,-22.5098263771619,-22.5098263771619,-43.1832003593445,-43.1832003593445,,no
824.0,676.123,64,64,-0.148,-22.5101261981313,-22.5101261981313,-43.182387650013,-43.182387650013,,no
823.0,80.271,65,65,-1.246,-22.5097817766308,-22.5097817766308,-43.1758162375069,-43.1758162375069,,no
822.0,1403.772,66,66,0.427,-22.5097470855572,-22.5097470855572,-43.1750357151031,-43.1750357151031,,no
828.0,1707.797,67,67,0.878,-22.5080209040003,-22.5080209040003,-43.1885728240013,-43.1885728240013,,no
843.0,1295.218,68,68,0.463,-22.522631374531,-22.522631374531,-43.1834471225739,-43.1834471225739,,no
849.0,2250.953,69,69,-0.8,-22.5278459451845,-22.5278459451845,-43.1721711158752,-43.1721711158752,,no
831.0,804.406,70,70,-0.746,-22.5106500001721,-22.5106500001721,-43.1837341189384,-43.1837341189384,,no
825.0,2160.623,71,71,1.944,-22.5101658438306,-22.5101658438306,-43.1759208440781,-43.1759208440781,,no
867.0,1822.253,72,72,-2.689,-22.5197052597041,-22.5197052597041,-43.1942456960678,-43.1942456960678,,no
818.0,858.695,73,73,-0.116,-22.5040627501717,-22.5040627501717,-43.1889563798904,-43.1889563798904,,no
817.0,338.352,74,74,0.887,-22.5089194767184,-22.5089194767184,-43.1824573874474,-43.1824573874474,,no
820.0,4642.248,75,75,1.594,-22.5070858346986,-22.5070858346986,-43.185085952282,-43.185085952282,,no
894.0,5166.394,76,76,-1.471,-22.5209217976107,-22.5209217976107,-43.2277250289917,-43.2277250289917,,no
818.0,1052.619,77,77,3.42,-22.5059112998721,-22.5059112998721,-43.1801265478134,-43.1801265478134,,no
